"exercise_name";"type_of_activity";"type_of_equipment";"body_part";"type";"muscle_groups_activated";"instructions"
"Mountain Climbers";"Warm-up";"Resistance Band";"Lower Body";"Static";"Traps, Abs, Rear Deltoids";"Hold the position steadily, ensuring your Traps, Abs, Rear Deltoids remain activated without losing alignment."
"Wall Sit";"Strength";"Barbell";"Full Body";"Static";"Hip Flexors, Lower Back, Forearms, Lats";"Hold the position steadily, ensuring your Hip Flexors, Lower Back, Forearms, Lats remain activated without losing alignment."
"Burpees";"Warm-up";"Cable Machine";"Lower Body";"Push";"Traps, Chest";"Perform the movement by engaging your Traps, Chest and keeping proper form. Avoid overextending."
"Jumping Jacks";"Strength";"Cable Machine";"Upper Body";"Static";"Core, Lats";"Hold the position steadily, ensuring your Core, Lats remain activated without losing alignment."
"Side Plank";"Mobility";"Kettlebells";"Core";"Hold";"Abs, Hamstrings";"Maintain a stable position, keeping your Abs, Hamstrings engaged throughout the duration."
"Overhead Press";"Mobility";"None";"Core";"Push";"Hip Flexors, Hamstrings, Core, Glutes";"Perform the movement by engaging your Hip Flexors, Hamstrings, Core, Glutes and keeping proper form. Avoid overextending."
"Push-Ups";"Cardio";"Medicine Ball";"Core";"Static";"Traps, Abs, Hip Flexors";"Hold the position steadily, ensuring your Traps, Abs, Hip Flexors remain activated without losing alignment."
"Overhead Press";"Strength";"Medicine Ball";"Core";"Pull";"Shoulders, Chest";"Pull the medicine ball towards you using your Shoulders, Chest, and return to the starting position with control."
"Bench Press";"Cardio";"Resistance Band";"Full Body";"Push";"Shoulders, Chest";"Perform the movement by engaging your Shoulders, Chest and keeping proper form. Avoid overextending."
"Bench Press";"Cardio";"Bodyweight";"Full Body";"Pull";"Traps, Lower Back, Quadriceps";"Pull the bodyweight towards you using your Traps, Lower Back, Quadriceps, and return to the starting position with control."
"Jumping Jacks";"Mobility";"Barbell";"Upper Body";"Hold";"Lats, Hamstrings, Quadriceps, Triceps, Traps";"Maintain a stable position, keeping your Lats, Hamstrings, Quadriceps, Triceps, Traps engaged throughout the duration."
"Tricep Dips";"Mobility";"Cable Machine";"Lower Body";"Pull";"Traps, Triceps, Shoulders, Chest, Core";"Pull the cable machine towards you using your Traps, Triceps, Shoulders, Chest, Core, and return to the starting position with control."
"Plank";"Strength";"Kettlebells";"Full Body";"Hold";"Rear Deltoids, Abs, Triceps";"Maintain a stable position, keeping your Rear Deltoids, Abs, Triceps engaged throughout the duration."
"Deadlifts";"Mobility";"Resistance Band";"Core";"Static";"Biceps, Rear Deltoids, Glutes, Hip Flexors";"Hold the position steadily, ensuring your Biceps, Rear Deltoids, Glutes, Hip Flexors remain activated without losing alignment."
"Russian Twists";"Mobility";"None";"Core";"Static";"Forearms, Triceps, Lower Back, Abs, Lats";"Hold the position steadily, ensuring your Forearms, Triceps, Lower Back, Abs, Lats remain activated without losing alignment."
"Squats";"Cardio";"Kettlebells";"Full Body";"Static";"Hamstrings, Abs, Core, Lats, Quadriceps";"Hold the position steadily, ensuring your Hamstrings, Abs, Core, Lats, Quadriceps remain activated without losing alignment."
"Leg Raises";"Cardio";"None";"Full Body";"Static";"Hamstrings, Core, Forearms";"Hold the position steadily, ensuring your Hamstrings, Core, Forearms remain activated without losing alignment."
"Plank";"Mobility";"Barbell";"Lower Body";"Hold";"Lower Back, Hip Flexors, Glutes";"Maintain a stable position, keeping your Lower Back, Hip Flexors, Glutes engaged throughout the duration."
"Kettlebell Swings";"Mobility";"Kettlebells";"Lower Body";"Pull";"Forearms, Lower Back, Hip Flexors, Quadriceps, Hamstrings";"Pull the kettlebells towards you using your Forearms, Lower Back, Hip Flexors, Quadriceps, Hamstrings, and return to the starting position with control."
"Kettlebell Swings";"Mobility";"Pull-Up Bar";"Lower Body";"Pull";"Core, Triceps, Rear Deltoids, Glutes";"Pull the pull-up bar towards you using your Core, Triceps, Rear Deltoids, Glutes, and return to the starting position with control."
"Lunges";"Warm-up";"Resistance Band";"Upper Body";"Push";"Shoulders, Forearms, Hip Flexors";"Perform the movement by engaging your Shoulders, Forearms, Hip Flexors and keeping proper form. Avoid overextending."
"Dumbbell Rows";"Cardio";"Kettlebells";"Full Body";"Hold";"Forearms, Chest, Shoulders, Abs, Core";"Maintain a stable position, keeping your Forearms, Chest, Shoulders, Abs, Core engaged throughout the duration."
"Tricep Dips";"Cardio";"Cable Machine";"Upper Body";"Hold";"Hip Flexors, Abs, Traps, Biceps, Quadriceps";"Maintain a stable position, keeping your Hip Flexors, Abs, Traps, Biceps, Quadriceps engaged throughout the duration."
"Overhead Press";"Strength";"Pull-Up Bar";"Full Body";"Hold";"Core, Chest, Hip Flexors, Traps, Lower Back";"Maintain a stable position, keeping your Core, Chest, Hip Flexors, Traps, Lower Back engaged throughout the duration."
"Plank";"Mobility";"None";"Core";"Push";"Hamstrings, Shoulders, Quadriceps";"Perform the movement by engaging your Hamstrings, Shoulders, Quadriceps and keeping proper form. Avoid overextending."
"Squats";"Strength";"Kettlebells";"Lower Body";"Push";"Glutes, Biceps";"Perform the movement by engaging your Glutes, Biceps and keeping proper form. Avoid overextending."
"Bench Press";"Warm-up";"Barbell";"Upper Body";"Hold";"Lats, Triceps, Rear Deltoids, Core";"Maintain a stable position, keeping your Lats, Triceps, Rear Deltoids, Core engaged throughout the duration."
"Leg Raises";"Cardio";"Cable Machine";"Lower Body";"Pull";"Lats, Rear Deltoids";"Pull the cable machine towards you using your Lats, Rear Deltoids, and return to the starting position with control."
"Bicep Curls";"Warm-up";"Dumbbells";"Upper Body";"Pull";"Lower Back, Hamstrings";"Pull the dumbbells towards you using your Lower Back, Hamstrings, and return to the starting position with control."
"Pull-Ups";"Warm-up";"Medicine Ball";"Core";"Pull";"Hamstrings, Glutes, Chest";"Pull the medicine ball towards you using your Hamstrings, Glutes, Chest, and return to the starting position with control."
"Pull-Ups";"Mobility";"Barbell";"Full Body";"Static";"Shoulders, Triceps, Core, Chest";"Hold the position steadily, ensuring your Shoulders, Triceps, Core, Chest remain activated without losing alignment."
"Bicep Curls";"Cardio";"None";"Upper Body";"Hold";"Core, Forearms, Traps";"Maintain a stable position, keeping your Core, Forearms, Traps engaged throughout the duration."
"Leg Raises";"Warm-up";"Bodyweight";"Lower Body";"Pull";"Core, Hip Flexors, Shoulders";"Pull the bodyweight towards you using your Core, Hip Flexors, Shoulders, and return to the starting position with control."
"Plank";"Strength";"Cable Machine";"Upper Body";"Push";"Biceps, Shoulders";"Perform the movement by engaging your Biceps, Shoulders and keeping proper form. Avoid overextending."
"Resistance Band Pull";"Strength";"Resistance Band";"Full Body";"Static";"Lats, Abs";"Hold the position steadily, ensuring your Lats, Abs remain activated without losing alignment."
"Tricep Dips";"Strength";"Dumbbells";"Lower Body";"Pull";"Shoulders, Triceps, Traps";"Pull the dumbbells towards you using your Shoulders, Triceps, Traps, and return to the starting position with control."
"Side Plank";"Warm-up";"Medicine Ball";"Core";"Pull";"Hamstrings, Quadriceps, Traps";"Pull the medicine ball towards you using your Hamstrings, Quadriceps, Traps, and return to the starting position with control."
"Bicep Curls";"Mobility";"Dumbbells";"Upper Body";"Pull";"Glutes, Biceps, Hip Flexors, Chest";"Pull the dumbbells towards you using your Glutes, Biceps, Hip Flexors, Chest, and return to the starting position with control."
"Plank";"Mobility";"Bodyweight";"Core";"Push";"Triceps, Chest, Forearms, Biceps, Hip Flexors";"Perform the movement by engaging your Triceps, Chest, Forearms, Biceps, Hip Flexors and keeping proper form. Avoid overextending."
"Squats";"Strength";"Cable Machine";"Upper Body";"Pull";"Hamstrings, Lats, Abs, Traps";"Pull the cable machine towards you using your Hamstrings, Lats, Abs, Traps, and return to the starting position with control."
"Kettlebell Swings";"Warm-up";"Resistance Band";"Upper Body";"Static";"Rear Deltoids, Glutes, Hip Flexors, Chest";"Hold the position steadily, ensuring your Rear Deltoids, Glutes, Hip Flexors, Chest remain activated without losing alignment."
"Leg Raises";"Mobility";"Medicine Ball";"Lower Body";"Pull";"Glutes, Biceps";"Pull the medicine ball towards you using your Glutes, Biceps, and return to the starting position with control."
"Push-Ups";"Mobility";"None";"Core";"Pull";"Core, Lower Back, Forearms, Chest, Biceps";"Pull the your body towards you using your Core, Lower Back, Forearms, Chest, Biceps, and return to the starting position with control."
"Push-Ups";"Strength";"Kettlebells";"Full Body";"Hold";"Chest, Hamstrings, Forearms, Glutes";"Maintain a stable position, keeping your Chest, Hamstrings, Forearms, Glutes engaged throughout the duration."
"Bicep Curls";"Mobility";"None";"Upper Body";"Pull";"Biceps, Hip Flexors, Quadriceps";"Pull the your body towards you using your Biceps, Hip Flexors, Quadriceps, and return to the starting position with control."
"Push-Ups";"Warm-up";"Bodyweight";"Upper Body";"Hold";"Hip Flexors, Quadriceps, Hamstrings, Traps";"Maintain a stable position, keeping your Hip Flexors, Quadriceps, Hamstrings, Traps engaged throughout the duration."
"Kettlebell Swings";"Strength";"Bodyweight";"Lower Body";"Pull";"Glutes, Quadriceps, Shoulders, Core, Rear Deltoids";"Pull the bodyweight towards you using your Glutes, Quadriceps, Shoulders, Core, Rear Deltoids, and return to the starting position with control."
"Leg Raises";"Mobility";"Kettlebells";"Lower Body";"Pull";"Core, Abs, Chest, Biceps";"Pull the kettlebells towards you using your Core, Abs, Chest, Biceps, and return to the starting position with control."
"Deadlifts";"Mobility";"Resistance Band";"Core";"Hold";"Quadriceps, Core, Glutes, Lats, Forearms";"Maintain a stable position, keeping your Quadriceps, Core, Glutes, Lats, Forearms engaged throughout the duration."
"Push-Ups";"Warm-up";"Resistance Band";"Lower Body";"Pull";"Lower Back, Triceps, Chest, Lats, Hamstrings";"Pull the resistance band towards you using your Lower Back, Triceps, Chest, Lats, Hamstrings, and return to the starting position with control."
"Bench Press";"Strength";"Barbell";"Full Body";"Hold";"Quadriceps, Rear Deltoids, Hip Flexors";"Maintain a stable position, keeping your Quadriceps, Rear Deltoids, Hip Flexors engaged throughout the duration."
"Resistance Band Pull";"Strength";"Medicine Ball";"Lower Body";"Push";"Glutes, Lower Back, Triceps, Rear Deltoids";"Perform the movement by engaging your Glutes, Lower Back, Triceps, Rear Deltoids and keeping proper form. Avoid overextending."
"Jumping Jacks";"Strength";"Barbell";"Core";"Pull";"Hamstrings, Forearms";"Pull the barbell towards you using your Hamstrings, Forearms, and return to the starting position with control."
"Mountain Climbers";"Warm-up";"Resistance Band";"Lower Body";"Static";"Traps, Abs, Rear Deltoids";"Hold the position steadily, ensuring your Traps, Abs, Rear Deltoids remain activated without losing alignment."
"Lunges";"Mobility";"Pull-Up Bar";"Full Body";"Static";"Chest, Quadriceps, Triceps, Rear Deltoids";"Hold the position steadily, ensuring your Chest, Quadriceps, Triceps, Rear Deltoids remain activated without losing alignment."
"Bicep Curls";"Cardio";"Resistance Band";"Lower Body";"Push";"Forearms, Shoulders, Lats, Traps";"Perform the movement by engaging your Forearms, Shoulders, Lats, Traps and keeping proper form. Avoid overextending."
"Resistance Band Pull";"Strength";"None";"Core";"Pull";"Traps, Triceps";"Pull the your body towards you using your Traps, Triceps, and return to the starting position with control."
"Deadlifts";"Mobility";"Dumbbells";"Lower Body";"Hold";"Traps, Triceps, Hamstrings, Forearms";"Maintain a stable position, keeping your Traps, Triceps, Hamstrings, Forearms engaged throughout the duration."
"Bicep Curls";"Cardio";"Resistance Band";"Full Body";"Hold";"Abs, Lats, Forearms, Chest, Rear Deltoids";"Maintain a stable position, keeping your Abs, Lats, Forearms, Chest, Rear Deltoids engaged throughout the duration."
"Resistance Band Pull";"Mobility";"Dumbbells";"Full Body";"Pull";"Hip Flexors, Lats, Biceps, Rear Deltoids, Quadriceps";"Pull the dumbbells towards you using your Hip Flexors, Lats, Biceps, Rear Deltoids, Quadriceps, and return to the starting position with control."
"Mountain Climbers";"Mobility";"Pull-Up Bar";"Upper Body";"Static";"Glutes, Abs, Quadriceps";"Hold the position steadily, ensuring your Glutes, Abs, Quadriceps remain activated without losing alignment."
"Side Plank";"Strength";"Resistance Band";"Upper Body";"Pull";"Shoulders, Rear Deltoids, Hip Flexors, Abs";"Pull the resistance band towards you using your Shoulders, Rear Deltoids, Hip Flexors, Abs, and return to the starting position with control."
"Dumbbell Rows";"Warm-up";"None";"Full Body";"Static";"Rear Deltoids, Triceps, Traps, Biceps, Quadriceps";"Hold the position steadily, ensuring your Rear Deltoids, Triceps, Traps, Biceps, Quadriceps remain activated without losing alignment."
"Kettlebell Swings";"Mobility";"None";"Lower Body";"Static";"Core, Rear Deltoids";"Hold the position steadily, ensuring your Core, Rear Deltoids remain activated without losing alignment."
"Lunges";"Cardio";"Barbell";"Upper Body";"Static";"Quadriceps, Traps, Biceps, Glutes, Core";"Hold the position steadily, ensuring your Quadriceps, Traps, Biceps, Glutes, Core remain activated without losing alignment."
"Wall Sit";"Strength";"Barbell";"Full Body";"Static";"Hip Flexors, Lower Back, Forearms, Lats";"Hold the position steadily, ensuring your Hip Flexors, Lower Back, Forearms, Lats remain activated without losing alignment."
"Bicep Curls";"Cardio";"None";"Full Body";"Static";"Shoulders, Lats";"Hold the position steadily, ensuring your Shoulders, Lats remain activated without losing alignment."
"Kettlebell Swings";"Mobility";"Pull-Up Bar";"Full Body";"Hold";"Forearms, Core, Glutes";"Maintain a stable position, keeping your Forearms, Core, Glutes engaged throughout the duration."
"Jumping Jacks";"Warm-up";"Medicine Ball";"Upper Body";"Hold";"Quadriceps, Hamstrings, Traps";"Maintain a stable position, keeping your Quadriceps, Hamstrings, Traps engaged throughout the duration."
"Push-Ups";"Cardio";"None";"Upper Body";"Pull";"Hamstrings, Glutes, Lower Back, Chest, Abs";"Pull the your body towards you using your Hamstrings, Glutes, Lower Back, Chest, Abs, and return to the starting position with control."
"Jumping Jacks";"Cardio";"Medicine Ball";"Upper Body";"Push";"Lower Back, Chest, Quadriceps, Hip Flexors";"Perform the movement by engaging your Lower Back, Chest, Quadriceps, Hip Flexors and keeping proper form. Avoid overextending."
"Overhead Press";"Strength";"Barbell";"Core";"Pull";"Core, Lower Back, Rear Deltoids, Quadriceps";"Pull the barbell towards you using your Core, Lower Back, Rear Deltoids, Quadriceps, and return to the starting position with control."
"Deadlifts";"Warm-up";"Barbell";"Core";"Push";"Abs, Lats, Biceps";"Perform the movement by engaging your Abs, Lats, Biceps and keeping proper form. Avoid overextending."
"Squats";"Strength";"Kettlebells";"Full Body";"Push";"Abs, Shoulders";"Perform the movement by engaging your Abs, Shoulders and keeping proper form. Avoid overextending."
"Jumping Jacks";"Mobility";"None";"Core";"Pull";"Forearms, Quadriceps, Core";"Pull the your body towards you using your Forearms, Quadriceps, Core, and return to the starting position with control."
"Plank";"Warm-up";"Pull-Up Bar";"Core";"Push";"Triceps, Shoulders, Lats";"Perform the movement by engaging your Triceps, Shoulders, Lats and keeping proper form. Avoid overextending."
"Resistance Band Pull";"Mobility";"Medicine Ball";"Lower Body";"Hold";"Forearms, Core";"Maintain a stable position, keeping your Forearms, Core engaged throughout the duration."
"Resistance Band Pull";"Mobility";"Pull-Up Bar";"Core";"Static";"Shoulders, Traps, Glutes, Rear Deltoids";"Hold the position steadily, ensuring your Shoulders, Traps, Glutes, Rear Deltoids remain activated without losing alignment."
"Plank";"Mobility";"Pull-Up Bar";"Upper Body";"Static";"Lats, Chest";"Hold the position steadily, ensuring your Lats, Chest remain activated without losing alignment."
"Leg Raises";"Strength";"Kettlebells";"Lower Body";"Pull";"Chest, Hamstrings, Hip Flexors, Lats, Biceps";"Pull the kettlebells towards you using your Chest, Hamstrings, Hip Flexors, Lats, Biceps, and return to the starting position with control."
"Push-Ups";"Warm-up";"Cable Machine";"Core";"Push";"Lower Back, Rear Deltoids, Shoulders, Traps";"Perform the movement by engaging your Lower Back, Rear Deltoids, Shoulders, Traps and keeping proper form. Avoid overextending."
"Overhead Press";"Warm-up";"None";"Core";"Push";"Quadriceps, Hip Flexors";"Perform the movement by engaging your Quadriceps, Hip Flexors and keeping proper form. Avoid overextending."
"Kettlebell Swings";"Cardio";"Bodyweight";"Lower Body";"Hold";"Hip Flexors, Lats, Abs, Forearms, Chest";"Maintain a stable position, keeping your Hip Flexors, Lats, Abs, Forearms, Chest engaged throughout the duration."
"Dumbbell Rows";"Mobility";"Pull-Up Bar";"Core";"Pull";"Triceps, Traps, Rear Deltoids, Forearms";"Pull the pull-up bar towards you using your Triceps, Traps, Rear Deltoids, Forearms, and return to the starting position with control."
"Leg Raises";"Warm-up";"Barbell";"Lower Body";"Pull";"Core, Shoulders";"Pull the barbell towards you using your Core, Shoulders, and return to the starting position with control."
"Bicep Curls";"Strength";"Pull-Up Bar";"Core";"Pull";"Triceps, Lower Back";"Pull the pull-up bar towards you using your Triceps, Lower Back, and return to the starting position with control."
"Tricep Dips";"Warm-up";"Barbell";"Core";"Static";"Triceps, Hamstrings";"Hold the position steadily, ensuring your Triceps, Hamstrings remain activated without losing alignment."
"Bicep Curls";"Cardio";"Medicine Ball";"Lower Body";"Push";"Lats, Abs, Forearms, Triceps, Quadriceps";"Perform the movement by engaging your Lats, Abs, Forearms, Triceps, Quadriceps and keeping proper form. Avoid overextending."
"Leg Raises";"Strength";"Resistance Band";"Upper Body";"Static";"Chest, Biceps";"Hold the position steadily, ensuring your Chest, Biceps remain activated without losing alignment."
"Push-Ups";"Strength";"Bodyweight";"Full Body";"Static";"Traps, Rear Deltoids, Core, Lats";"Hold the position steadily, ensuring your Traps, Rear Deltoids, Core, Lats remain activated without losing alignment."
"Bench Press";"Mobility";"Medicine Ball";"Full Body";"Static";"Hamstrings, Chest, Lats, Lower Back";"Hold the position steadily, ensuring your Hamstrings, Chest, Lats, Lower Back remain activated without losing alignment."
"Bicep Curls";"Warm-up";"Resistance Band";"Core";"Push";"Lats, Forearms, Lower Back, Core";"Perform the movement by engaging your Lats, Forearms, Lower Back, Core and keeping proper form. Avoid overextending."
"Tricep Dips";"Mobility";"Resistance Band";"Upper Body";"Hold";"Quadriceps, Triceps, Rear Deltoids, Hamstrings";"Maintain a stable position, keeping your Quadriceps, Triceps, Rear Deltoids, Hamstrings engaged throughout the duration."
"Jumping Jacks";"Mobility";"Medicine Ball";"Core";"Static";"Abs, Lats, Forearms";"Hold the position steadily, ensuring your Abs, Lats, Forearms remain activated without losing alignment."
"Bicep Curls";"Warm-up";"Dumbbells";"Core";"Hold";"Abs, Chest, Traps";"Maintain a stable position, keeping your Abs, Chest, Traps engaged throughout the duration."
"Tricep Dips";"Warm-up";"Resistance Band";"Full Body";"Hold";"Core, Abs, Glutes, Triceps";"Maintain a stable position, keeping your Core, Abs, Glutes, Triceps engaged throughout the duration."
"Bench Press";"Mobility";"Pull-Up Bar";"Core";"Hold";"Lower Back, Forearms";"Maintain a stable position, keeping your Lower Back, Forearms engaged throughout the duration."
"Mountain Climbers";"Warm-up";"Bodyweight";"Core";"Push";"Lats, Rear Deltoids, Glutes";"Perform the movement by engaging your Lats, Rear Deltoids, Glutes and keeping proper form. Avoid overextending."
"Burpees";"Warm-up";"Cable Machine";"Lower Body";"Push";"Traps, Chest";"Perform the movement by engaging your Traps, Chest and keeping proper form. Avoid overextending."
"Tricep Dips";"Mobility";"Barbell";"Core";"Pull";"Hip Flexors, Biceps, Quadriceps";"Pull the barbell towards you using your Hip Flexors, Biceps, Quadriceps, and return to the starting position with control."
"Leg Raises";"Cardio";"Bodyweight";"Lower Body";"Pull";"Triceps, Quadriceps";"Pull the bodyweight towards you using your Triceps, Quadriceps, and return to the starting position with control."
"Kettlebell Swings";"Warm-up";"Kettlebells";"Core";"Static";"Lats, Biceps";"Hold the position steadily, ensuring your Lats, Biceps remain activated without losing alignment."
"Side Plank";"Warm-up";"Resistance Band";"Full Body";"Static";"Core, Hip Flexors, Traps, Hamstrings, Shoulders";"Hold the position steadily, ensuring your Core, Hip Flexors, Traps, Hamstrings, Shoulders remain activated without losing alignment."
"Bench Press";"Mobility";"None";"Core";"Static";"Abs, Lats, Glutes";"Hold the position steadily, ensuring your Abs, Lats, Glutes remain activated without losing alignment."
"Jumping Jacks";"Mobility";"Kettlebells";"Full Body";"Pull";"Forearms, Triceps, Abs, Core, Quadriceps";"Pull the kettlebells towards you using your Forearms, Triceps, Abs, Core, Quadriceps, and return to the starting position with control."
"Bicep Curls";"Mobility";"Barbell";"Upper Body";"Push";"Rear Deltoids, Chest, Biceps, Lats";"Perform the movement by engaging your Rear Deltoids, Chest, Biceps, Lats and keeping proper form. Avoid overextending."
"Burpees";"Warm-up";"Cable Machine";"Upper Body";"Static";"Hamstrings, Hip Flexors, Biceps, Rear Deltoids";"Hold the position steadily, ensuring your Hamstrings, Hip Flexors, Biceps, Rear Deltoids remain activated without losing alignment."
"Bench Press";"Strength";"Barbell";"Upper Body";"Push";"Biceps, Lower Back";"Perform the movement by engaging your Biceps, Lower Back and keeping proper form. Avoid overextending."
"Pull-Ups";"Cardio";"Pull-Up Bar";"Upper Body";"Static";"Forearms, Shoulders, Rear Deltoids, Quadriceps, Traps";"Hold the position steadily, ensuring your Forearms, Shoulders, Rear Deltoids, Quadriceps, Traps remain activated without losing alignment."
"Lunges";"Mobility";"None";"Full Body";"Push";"Quadriceps, Hip Flexors";"Perform the movement by engaging your Quadriceps, Hip Flexors and keeping proper form. Avoid overextending."
"Pull-Ups";"Mobility";"Pull-Up Bar";"Upper Body";"Hold";"Forearms, Chest, Rear Deltoids, Lats";"Maintain a stable position, keeping your Forearms, Chest, Rear Deltoids, Lats engaged throughout the duration."
"Bicep Curls";"Warm-up";"Barbell";"Upper Body";"Static";"Forearms, Core, Rear Deltoids";"Hold the position steadily, ensuring your Forearms, Core, Rear Deltoids remain activated without losing alignment."
"Burpees";"Strength";"Cable Machine";"Upper Body";"Push";"Hamstrings, Lats, Core, Hip Flexors, Quadriceps";"Perform the movement by engaging your Hamstrings, Lats, Core, Hip Flexors, Quadriceps and keeping proper form. Avoid overextending."
"Tricep Dips";"Warm-up";"Resistance Band";"Core";"Hold";"Biceps, Abs, Core, Lats";"Maintain a stable position, keeping your Biceps, Abs, Core, Lats engaged throughout the duration."
"Bench Press";"Strength";"Kettlebells";"Full Body";"Pull";"Forearms, Lower Back, Biceps";"Pull the kettlebells towards you using your Forearms, Lower Back, Biceps, and return to the starting position with control."
"Dumbbell Rows";"Cardio";"Dumbbells";"Upper Body";"Hold";"Glutes, Quadriceps, Core, Lats, Abs";"Maintain a stable position, keeping your Glutes, Quadriceps, Core, Lats, Abs engaged throughout the duration."
"Pull-Ups";"Strength";"Resistance Band";"Lower Body";"Push";"Abs, Rear Deltoids, Hamstrings, Lats, Lower Back";"Perform the movement by engaging your Abs, Rear Deltoids, Hamstrings, Lats, Lower Back and keeping proper form. Avoid overextending."
"Bicep Curls";"Cardio";"Pull-Up Bar";"Full Body";"Static";"Forearms, Lower Back, Abs, Rear Deltoids";"Hold the position steadily, ensuring your Forearms, Lower Back, Abs, Rear Deltoids remain activated without losing alignment."
"Mountain Climbers";"Warm-up";"Medicine Ball";"Upper Body";"Static";"Hamstrings, Quadriceps, Glutes, Forearms";"Hold the position steadily, ensuring your Hamstrings, Quadriceps, Glutes, Forearms remain activated without losing alignment."
"Pull-Ups";"Cardio";"Medicine Ball";"Lower Body";"Pull";"Shoulders, Chest, Triceps";"Pull the medicine ball towards you using your Shoulders, Chest, Triceps, and return to the starting position with control."
"Tricep Dips";"Strength";"Dumbbells";"Core";"Pull";"Abs, Lats, Hamstrings";"Pull the dumbbells towards you using your Abs, Lats, Hamstrings, and return to the starting position with control."
"Push-Ups";"Mobility";"Barbell";"Full Body";"Static";"Glutes, Lats, Core, Chest, Lower Back";"Hold the position steadily, ensuring your Glutes, Lats, Core, Chest, Lower Back remain activated without losing alignment."
"Tricep Dips";"Strength";"Resistance Band";"Upper Body";"Hold";"Core, Lats, Rear Deltoids, Traps";"Maintain a stable position, keeping your Core, Lats, Rear Deltoids, Traps engaged throughout the duration."
"Tricep Dips";"Warm-up";"Cable Machine";"Full Body";"Static";"Shoulders, Lower Back";"Hold the position steadily, ensuring your Shoulders, Lower Back remain activated without losing alignment."
"Jumping Jacks";"Cardio";"Barbell";"Core";"Static";"Chest, Quadriceps, Hamstrings, Traps";"Hold the position steadily, ensuring your Chest, Quadriceps, Hamstrings, Traps remain activated without losing alignment."
"Burpees";"Strength";"Resistance Band";"Core";"Push";"Hamstrings, Lats";"Perform the movement by engaging your Hamstrings, Lats and keeping proper form. Avoid overextending."
